time;x;y;z
1652870419229;-0.023942016065120697;-0.033518824726343155;9.84495735168457
1652870419263;-0.05267243832349777;-0.043095629662275314;9.825803756713867
1652870419273;-0.038307227194309235;-0.038307227194309235;9.849745750427246
1652870419281;-0.014365210197865963;-0.023942016065120697;9.835380554199219
1652870419315;-0.033518824726343155;-0.06224924325942993;9.830592155456543
1652870419327;-0.028730420395731926;-0.07182604819536209;9.86889934539795
1652870419338;-0.014365210197865963;-0.043095629662275314;9.86889934539795
1652870419356;-0.047884032130241394;-0.07182604819536209;9.854534149169922
1652870419376;-0.033518824726343155;-0.07182604819536209;9.859322547912598
1652870419395;-0.023942016065120697;-0.06224924325942993;9.81143856048584
1652870419415;-0.019153613597154617;-0.043095629662275314;9.859322547912598
1652870419436;-0.033518824726343155;-0.033518824726343155;9.840168952941895
1652870419455;-0.009576806798577309;-0.023942016065120697;9.859322547912598
1652870419475;-0.019153613597154617;-0.047884032130241394;9.830592155456543
1652870419496;-0.043095629662275314;-0.038307227194309235;9.835380554199219
1652870419517;-0.043095629662275314;-0.028730420395731926;9.806650161743164
1652870419536;-0.033518824726343155;-0.038307227194309235;9.849745750427246
1652870419556;-0.033518824726343155;-0.06224924325942993;9.840168952941895
1652870419576;-0.043095629662275314;-0.06224924325942993;9.859322547912598
1652870419595;-0.014365210197865963;-0.07182604819536209;9.816226959228516
1652870419615;-0.038307227194309235;-0.043095629662275314;9.835380554199219
1652870419636;-0.05267243832349777;-0.047884032130241394;9.830592155456543
1652870419656;-0.043095629662275314;-0.043095629662275314;9.849745750427246
1652870419676;-0.043095629662275314;-0.07182604819536209;9.840168952941895
1652870419696;-0.023942016065120697;-0.05267243832349777;9.84495735168457
1652870419715;-0.038307227194309235;-0.07182604819536209;9.854534149169922
1652870419735;-0.05746084079146385;-0.06224924325942993;9.854534149169922
1652870419755;-0.028730420395731926;-0.05746084079146385;9.849745750427246
1652870419776;-0.06703764945268631;-0.07182604819536209;9.854534149169922
1652870419796;-0.05267243832349777;-0.06224924325942993;9.840168952941895
1652870419816;-0.019153613597154617;-0.023942016065120697;9.873687744140625
1652870419835;-0.038307227194309235;-0.05267243832349777;9.835380554199219
1652870419856;-0.05267243832349777;-0.023942016065120697;9.840168952941895
1652870419875;-0.038307227194309235;-0.06224924325942993;9.821015357971191
1652870419895;-0.038307227194309235;-0.014365210197865963;9.825803756713867
1652870419916;-0.043095629662275314;-0.05746084079146385;9.859322547912598
1652870419937;-0.06703764945268631;-0.08140286058187485;9.873687744140625
1652870419956;-0.023942016065120697;-0.07182604819536209;9.835380554199219
1652870419976;-0.019153613597154617;-0.06224924325942993;9.830592155456543
1652870419996;-0.019153613597154617;-0.047884032130241394;9.849745750427246
1652870420017;-0.043095629662275314;-0.05267243832349777;9.801861763000488
1652870420037;-0.06703764945268631;-0.05267243832349777;9.84495735168457
1652870420059;-0.019153613597154617;-0.05746084079146385;9.825803756713867
1652870420081;-0.06224924325942993;-0.05746084079146385;9.84495735168457
1652870420096;-0.019153613597154617;-0.047884032130241394;9.835380554199219
1652870420117;-0.028730420395731926;-0.05746084079146385;9.849745750427246
1652870420138;-0.043095629662275314;-0.038307227194309235;9.821015357971191
1652870420163;-0.06224924325942993;-0.023942016065120697;9.825803756713867
1652870420196;-0.05267243832349777;-0.038307227194309235;9.840168952941895
1652870420216;-0.019153613597154617;-0.05746084079146385;9.8784761428833
1652870420236;-0.033518824726343155;-0.06224924325942993;9.840168952941895
1652870420257;-0.033518824726343155;-0.06703764945268631;9.84495735168457
1652870420278;-0.023942016065120697;-0.06224924325942993;9.84495735168457
1652870420297;-0.038307227194309235;-0.05267243832349777;9.830592155456543
