type,start,end
5,1652649420531.0,1652649440191.0
1,1652649475741.0,1652649505723.0
5,1652650795803.0,1652650821244.0
2,1652651028152.0,1652651028327.0
5,1652651632163.0,1652651662143.0
2,1652652105620.0,1652652130431.0
5,1652652713203.0,1652652743184.0
2,1652652793961.0,1652652807513.0
1,1652652855304.0,1652652873451.0
2,1652652916739.0,1652652933912.0
5,1652652995075.0,1652653005494.0
2,1652653031106.0,1652653058293.0
1,1652653107522.0,1652653121458.0
2,1652653463108.0,1652653489764.0
1,1652653497696.0,1652653501864.0
2,1652653875680.0,1652653905076.0
1,1652653933105.0,1652653963095.0
5,1652654533295.0,1652654561135.0
1,1652654568988.0,1652654598984.0
5,1652655829146.0,1652655853186.0
2,1652655969329.0,1652655974303.0
5,1652656593884.0,1652656623864.0
1,1652656623884.0,1652656652770.0
2,1652656759979.0,1652656778971.0
1,1652656841275.0,1652656871265.0
5,1652657471365.0,1652657501357.0
2,1652657565108.0,1652657565305.0
5,1652657596113.0,1652657618546.0
2,1652657912089.0,1652657912596.0
5,1652658522123.0,1652658552103.0
2,1652658552123.0,1652658552203.0
1,1652658614105.0,1652658633665.0
2,1652658857766.0,1652658863395.0
1,1652658920842.0,1652658950829.0
5,1652658950849.0,1652658963350.0
2,1652659134664.0,1652659135418.0
5,1652660714146.0,1652660744126.0
2,1652660744146.0,1652660762019.0
5,1652661392367.0,1652661417388.0
2,1652661456823.0,1652661469675.0
1,1652661499008.0,1652661529003.0
5,1652662132566.0,1652662147593.0
2,1652662359181.0,1652662378531.0
1,1652662389503.0,1652662419486.0
5,1652662989506.0,1652663019490.0
2,1652663019506.0,1652663019706.0
5,1652663050107.0,1652663060889.0
2,1652663112149.0,1652663114569.0
5,1652663145105.0,1652663175095.0
1,1652663175115.0,1652663179515.0
5,1652663270107.0,1652663280504.0
2,1652663403368.0,1652663423234.0
1,1652663473924.0,1652663503922.0
5,1652664073942.0,1652664103223.0
1,1652664111473.0,1652664117197.0
5,1652664190101.0,1652664200543.0
2,1652665008309.0,1652665008770.0
5,1652665660123.0,1652665685589.0
2,1652665734641.0,1652665738258.0
5,1652665769105.0,1652665799094.0
1,1652665799114.0,1652665813265.0
2,1652666336656.0,1652666336779.0
1,1652666390099.0,1652666394039.0
2,1652666951892.0,1652666957371.0
5,1652667055102.0,1652667065503.0
2,1652667315213.0,1652667333799.0
5,1652667383009.0,1652667410284.0
2,1652667687439.0,1652667717271.0
5,1652669009126.0,1652669039106.0
2,1652669039126.0,1652669039246.0
5,1652669670126.0,1652669700106.0
2,1652669753081.0,1652669770179.0
5,1652670382176.0,1652670412156.0
1,1652670412176.0,1652670420236.0
2,1652670494369.0,1652670494813.0
5,1652670525498.0,1652670545646.0
1,1652670637105.0,1652670667104.0
5,1652671237124.0,1652671261204.0
2,1652671342940.0,1652671351993.0
1,1652671409632.0,1652671435122.0
5,1652671466105.0,1652671488701.0
2,1652671980928.0,1652671981107.0
5,1652673229143.0,1652673259123.0
2,1652673259143.0,1652673259203.0
5,1652673978105.0,1652673994167.0
