type,start,end
2,1652674171922.0,1652674201580.0
5,1652674781046.0,1652674811026.0
1,1652674811046.0,1652674814746.0
5,1652675415163.0,1652675445143.0
2,1652675445163.0,1652675445183.0
5,1652676110123.0,1652676140104.0
2,1652676257012.0,1652676261320.0
5,1652676860411.0,1652676890391.0
1,1652676890411.0,1652676893491.0
5,1652677494122.0,1652677524102.0
2,1652677555109.0,1652677585105.0
5,1652678155184.0,1652678185163.0
2,1652678223831.0,1652678241306.0
5,1652678876125.0,1652678906105.0
2,1652679064248.0,1652679093396.0
1,1652679124255.0,1652679154240.0
5,1652679724400.0,1652679753627.0
1,1652679783619.0,1652679809621.0
2,1652679867069.0,1652679870957.0
1,1652679972443.0,1652679994288.0
2,1652680412253.0,1652680423928.0
5,1652680568124.0,1652680598104.0
0,1652680598124.0,1652680608683.0
2,1652681080109.0,1652681080289.0
0,1652681205116.0,1652681226665.0
2,1652681412106.0,1652681412227.0
0,1652681512367.0,1652681542245.0
2,1652681542666.0,1652681555226.0
0,1652681765387.0,1652681779171.0
1,1652681797339.0,1652681826743.0
0,1652681832104.0,1652681860231.0
2,1652682289115.0,1652682289246.0
1,1652682400885.0,1652682418978.0
5,1652682440108.0,1652682465966.0
2,1652682926735.0,1652682929319.0
5,1652683047459.0,1652683059096.0
2,1652683291685.0,1652683306429.0
1,1652683346986.0,1652683376981.0
2,1652683620494.0,1652683647243.0
1,1652683777167.0,1652683783808.0
2,1652684627002.0,1652684628210.0
1,1652684667104.0,1652684697103.0
2,1652685047870.0,1652685068175.0
1,1652685107883.0,1652685120688.0
2,1652685520047.0,1652685520505.0
0,1652685558674.0,1652685580706.0
1,1652685628183.0,1652685635651.0
2,1652685698217.0,1652685698381.0
1,1652685728857.0,1652685739478.0
2,1652685824173.0,1652685824335.0
1,1652685935101.0,1652685961407.0
2,1652686258579.0,1652686288151.0
1,1652686318573.0,1652686336399.0
2,1652686507399.0,1652686523652.0
1,1652686541104.0,1652686563022.0
2,1652687468948.0,1652687470071.0
1,1652687610061.0,1652687638967.0
2,1652687783835.0,1652687783972.0
1,1652687877547.0,1652687887154.0
2,1652688341821.0,1652688351256.0
0,1652688411115.0,1652688416284.0
2,1652688970158.0,1652688979490.0
1,1652689041845.0,1652689054266.0
2,1652689167485.0,1652689167682.0
1,1652689224104.0,1652689229300.0
2,1652689652865.0,1652689670802.0
0,1652689697327.0,1652689719795.0
2,1652689805147.0,1652689830857.0
1,1652690000980.0,1652690023985.0
2,1652690574782.0,1652690574925.0
1,1652690610104.0,1652690623033.0
2,1652690931450.0,1652690937406.0
1,1652691004715.0,1652691030572.0
2,1652691188277.0,1652691188375.0
1,1652691234104.0,1652691258984.0
2,1652692068312.0,1652692079673.0
1,1652692113985.0,1652692143966.0
2,1652693135949.0,1652693153128.0
1,1652693198928.0,1652693216356.0
2,1652693450630.0,1652693480622.0
1,1652693480642.0,1652693508423.0
2,1652694563846.0,1652694592423.0
1,1652694684784.0,1652694714764.0
2,1652695054134.0,1652695054273.0
1,1652695097827.0,1652695122353.0
2,1652697168121.0,1652697195473.0
1,1652697257829.0,1652697268094.0
2,1652697638112.0,1652697668106.0
1,1652697668126.0,1652697698106.0
2,1652697938146.0,1652697968126.0
5,1652697998146.0,1652698009786.0
2,1652698115838.0,1652698119518.0
1,1652698158490.0,1652698182313.0
2,1652701011137.0,1652701039906.0
1,1652701041656.0,1652701067680.0
2,1652701603632.0,1652701603751.0
1,1652701647869.0,1652701667666.0
2,1652702147900.0,1652702151392.0
1,1652702216301.0,1652702239710.0
2,1652702249106.0,1652702276294.0
1,1652702288775.0,1652702316262.0
2,1652703468109.0,1652703468246.0
0,1652703691104.0,1652703696323.0
2,1652704369109.0,1652704369247.0
1,1652704514110.0,1652704542362.0
2,1652705057109.0,1652705057245.0
5,1652705199109.0,1652705227869.0
2,1652705244622.0,1652705270226.0
1,1652705278137.0,1652705303112.0
2,1652705317103.0,1652705317267.0
1,1652705365517.0,1652705392273.0
2,1652705804961.0,1652705834944.0
1,1652705834964.0,1652705842524.0
2,1652706365618.0,1652706371473.0
1,1652706430334.0,1652706448744.0
2,1652706986982.0,1652706999984.0
1,1652707095106.0,1652707110904.0
2,1652707880846.0,1652707910826.0
1,1652707910846.0,1652707915306.0
2,1652707944559.0,1652707973244.0
5,1652707983356.0,1652708006679.0
2,1652708573490.0,1652708603476.0
5,1652708603496.0,1652708629090.0
2,1652709372118.0,1652709401298.0
5,1652709435105.0,1652709448623.0
2,1652709715169.0,1652709740492.0
1,1652709775110.0,1652709805104.0
2,1652710533662.0,1652710533779.0
1,1652710648105.0,1652710676222.0
2,1652710848339.0,1652710848516.0
1,1652710881221.0,1652710894353.0
2,1652711665106.0,1652711694115.0
1,1652711698169.0,1652711719356.0
2,1652712293530.0,1652712321076.0
1,1652712369104.0,1652712399012.0
2,1652713371154.0,1652713379603.0
5,1652713449106.0,1652713479105.0
2,1652714688503.0,1652714692711.0
5,1652714751955.0,1652714781554.0
2,1652715255106.0,1652715255764.0
1,1652715368105.0,1652715380665.0
2,1652715873102.0,1652715873264.0
1,1652716068101.0,1652716090226.0
2,1652716696111.0,1652716696286.0
1,1652716911107.0,1652716919643.0
2,1652716982104.0,1652716982265.0
1,1652718175107.0,1652718180284.0
2,1652718784104.0,1652718784243.0
1,1652719088109.0,1652719093743.0
2,1652719914112.0,1652719915466.0
5,1652720102693.0,1652720114233.0
1,1652720293106.0,1652720310336.0
2,1652720815102.0,1652720815263.0
1,1652721209971.0,1652721231241.0
2,1652721487127.0,1652721487265.0
1,1652721604893.0,1652721630606.0
2,1652722388107.0,1652722388284.0
1,1652723130201.0,1652723138660.0
2,1652724190104.0,1652724190244.0
5,1652724438571.0,1652724452750.0
2,1652724742169.0,1652724765475.0
1,1652724793166.0,1652724804442.0
2,1652724953232.0,1652724975813.0
1,1652725010104.0,1652725039789.0
2,1652725843507.0,1652725843901.0
1,1652725910104.0,1652725939744.0
2,1652726757957.0,1652726778035.0
1,1652726843559.0,1652726853159.0
2,1652727343178.0,1652727366983.0
1,1652727484689.0,1652727513586.0
2,1652727917337.0,1652727925925.0
1,1652727990352.0,1652728003921.0
2,1652728475422.0,1652728484349.0
1,1652728535429.0,1652728548893.0
2,1652729095875.0,1652729112216.0
5,1652729147108.0,1652729174576.0
2,1652729466104.0,1652729489625.0
1,1652729510104.0,1652729517223.0
2,1652730370671.0,1652730397046.0
1,1652730411110.0,1652730432662.0
2,1652730558271.0,1652730584505.0
1,1652730601075.0,1652730622364.0
2,1652731249490.0,1652731279484.0
5,1652731279505.0,1652731304617.0
1,1652731314471.0,1652731320861.0
2,1652734607105.0,1652734611135.0
5,1652734760467.0,1652734790447.0
1,1652734790467.0,1652734796149.0
